spec,n_eff,insurance_status,estimate,std.error,conf.low,conf.high,p.value
Adults <65,10119,Private,2506.03029734264,362.36903898797993,1795.8000318138088,3216.2605628714714,4.6560643072162254e-12
Adults <65,10119,Medicaid/Public Only,4572.253152957577,796.9879511431168,3010.1854726047004,6134.320833310454,9.641588502950643e-9
Adults <65,10119,Uninsured,140.91168887849093,403.3433344160839,-649.6267199813282,931.4500977383101,0.7268196889050291
No functional limit,14364,Private,2611.8207555467543,315.2789929789268,1993.8852842260012,3229.7562268675074,1.1894835773420022e-16
No functional limit,14364,Medicare/Other Public,1844.9084207078783,324.2425347735728,1209.4047302956997,2480.412111120057,1.2711190332191967e-8
No functional limit,14364,Medicaid/Public Only,4719.348091677259,778.5499877252256,3193.418155571716,6245.2780277828015,1.3467775383925622e-9
No functional limit,14364,Uninsured,707.341827461009,416.78995444661507,-109.55147237244614,1524.235127294464,0.0896743113702489
SAQ subsample,9720,Private,3144.447952502512,477.56559876476797,2208.436578668261,4080.4593263367633,4.56951171750197e-11
SAQ subsample,9720,Medicare/Other Public,2112.6808314191517,469.921935790204,1191.6507617250081,3033.710901113295,6.930484544167675e-6
SAQ subsample,9720,Medicaid/Public Only,4954.413835230327,914.0203425045187,3162.966882784506,6745.860787676148,5.9444734349823405e-8
SAQ subsample,9720,Uninsured,886.5169798255694,637.592509736789,-363.14137607104055,2136.175335722179,0.16440346989083685
