insurance_status,morbidity_level,morbidity_score_std,Pr_Y_pos,Pr_Y_pos_SE,E_Y_given_pos,E_Y_given_pos_SE,total_E_Y,total_E_Y_SE
Private,Low (z = -1),-1,0.8693820274707698,0.012516218942737332,5182.485437996005,374.5853897407774,4505.559697422707,332.0549509484039
Private,Medium (z = 0),0,0.9276388393679682,0.0070926059438822945,7075.7769807763225,467.2017147916329,6563.765546073934,436.290452750381
Private,High (z = +1),1,0.9610758976392613,0.005997151686204288,9660.735274741872,733.2385824968046,9284.69982602782,707.0755650700842
Medicare/Other Public,Low (z = -1),-1,0.7969369841965503,0.043461859861671455,5016.725370241611,500.93437022835184,3998.0139871026718,454.87461047688
Medicare/Other Public,Medium (z = 0),0,0.8867227825272392,0.021709424683450492,6102.104317651567,561.9802114842507,5410.874919819478,515.6283728623456
Medicare/Other Public,High (z = +1),1,0.9398076189938661,0.01582231093326426,7422.307253328595,700.6470950748919,6975.540907191649,668.8639755610642
Medicaid/Public Only,Low (z = -1),-1,0.7744983028875938,0.026139674512089827,4252.118398920559,515.6560581845742,3293.2584836410856,414.55311201770405
Medicaid/Public Only,Medium (z = 0),0,0.8874007719187388,0.013630697654884633,6200.381323672743,672.0680165462596,5502.223172817723,602.3522982627433
Medicaid/Public Only,High (z = +1),1,0.9476004981491635,0.010464762838510217,9041.311871444903,1059.443062656392,8567.551633303136,1008.3774175710445
Uninsured,Low (z = -1),-1,0.498506873161776,0.03365776328002552,2757.8279678409567,599.6266085040052,1374.7961969664902,312.9983153562227
Uninsured,Medium (z = 0),0,0.6652319186588622,0.032480773037463676,3311.792875490411,462.77626058929104,2203.1103287632363,326.1058405070219
Uninsured,High (z = +1),1,0.7988894773963836,0.04537054701616099,3977.0327148925207,576.4264626798573,3177.2095871888064,494.5905896529622
